Timestamp,Email address,Kode Member,Nama,Tanggal Belanja,Total Belanja,Point,Keterangan
,,BR1009,Nasim Nashiruddin,03/03/2024,475000,47
,,BR1010,Ami Habibi,19/01/2024,647000,64
30/05/2024 01:10:10,ferryhidayat104@gmail.com,BR1011,Fathir,10/05/2024,74000,7
,,BR1010,Ami Habibi,09/03/2024,1560000,150
,,BR1010,Ami Habibi,03/05/2024,770000,70
,,BR1010,Ami Habibi,10/06/2024,,-200,Topi
29/05/2024 19:41:20,andifahry22@gmail.com,BR1012,Andy Facry,04/04/2024,2000000,200
29/06/2024 19:41:20,andifahry22@gmail.com,BR1012,Andy Facry,08/04/2024,70000,7
10/06/2024 19:41:20,andifahry22@gmail.com,BR1012,Andy Facry,10/04/2024,180000,18
,,BR1013,Garan Hassanah,25/04/2024,718000,71
,,BR1014,Tedi Manullang,27/04/2024,500000,50
,,BR1015,Tina Wasita,17/01/2024,229000,22
",,BR1016,""Dr. Pia Sihombing, M.Pd"",13/03/2024,323000,32"
",,BR1016,""Dr. Pia Sihombing, M.Pd"",16/01/2024,987000,98"
",,BR1016,""Dr. Pia Sihombing, M.Pd"",05/04/2024,122000,12"
,,BR1019,Rudi Hastuti,16/01/2024,806000,80
,,BR1019,Rudi Hastuti,17/01/2024,390000,39
,,BR1021,Eva Mansur,12/01/2024,182000,18
",,BR1612,""Ghaliyati Budiman, S.Sos"",02/05/2024,330000,33"
",,BR1612,""Ghaliyati Budiman, S.Sos"",22/01/2024,309000,30"
",,BR1612,""Ghaliyati Budiman, S.Sos"",15/04/2024,516000,51"
,,BR1613,Simon Sihombing,25/02/2024,213000,21
,,BR1613,Simon Sihombing,29/05/2024,245000,24
",,BR1804,""Yunita Lestari, M.Kom."",23/03/2024,268000,26"
",,BR1833,""Sutan Mahdi Sihotang, M.Kom."",03/01/2024,640000,64"
",,BR1833,""Sutan Mahdi Sihotang, M.Kom."",25/05/2024,848000,84"
",,BR1833,""Sutan Mahdi Sihotang, M.Kom."",09/05/2024,244000,24"
,,BR1896,Cecep Sudiati,20/05/2024,933000,93
,,BR1896,Cecep Sudiati,02/02/2024,579000,57
,,BR1896,Cecep Sudiati,30/03/2024,547000,54
,,BR1925,Zulaikha Prastuti,13/04/2024,210000,21
,,BR1925,Zulaikha Prastuti,18/01/2024,16000,1
,,BR2256,Vicky Wijaya,16/02/2024,546000,54
,,BR2256,Vicky Wijaya,07/05/2024,855000,85
",,BR2639,""Dr. Yuliana Budiman, S.Pd"",27/05/2024,764000,76"
",,BR2639,""Dr. Yuliana Budiman, S.Pd"",02/01/2024,199000,19"
",,BR2686,""Jamalia Prastuti, M.Ak"",07/01/2024,613000,61"
",,BR2722,""Panji Napitupulu, S.Psi"",17/01/2024,319000,31"
,,BR2856,Bagus Halimah,26/01/2024,38000,3
,,BR2856,Bagus Halimah,03/04/2024,43000,4
",,BR2902,""Mahesa Fujiati, S.Psi"",15/02/2024,515000,51"
,,BR3021,Yulia Wahyuni,03/01/2024,396000,39
",,BR3093,""Sutan Tugiman Puspasari, M.Kom."",05/03/2024,889000,88"
",,BR3093,""Sutan Tugiman Puspasari, M.Kom."",17/01/2024,736000,73"
",,BR3093,""Sutan Tugiman Puspasari, M.Kom."",27/03/2024,292000,29"
,,BR3400,Gaman Sihombing,29/02/2024,270000,27
,,BR3422,Opung Purnawati,18/05/2024,702000,70
,,BR3422,Opung Purnawati,09/02/2024,44000,4
,,BR3448,Sadina Santoso,09/02/2024,426000,42
,,BR3448,Sadina Santoso,01/02/2024,245000,24
",,BR3520,""Tgk. Karsana Napitupulu, S.Farm"",07/04/2024,450000,45"
,,BR3637,Irma Sitompul,29/01/2024,13000,1
,,BR3637,Irma Sitompul,23/04/2024,454000,45
,,BR3637,Irma Sitompul,24/01/2024,492000,49
,,BR3819,Irma Nashiruddin,16/01/2024,754000,75
,,BR3819,Irma Nashiruddin,13/03/2024,639000,63
,,BR3829,Hana Kuswandari,29/03/2024,388000,38
,,BR3829,Hana Kuswandari,08/03/2024,734000,73
,,BR3829,Hana Kuswandari,18/01/2024,533000,53
,,BR3840,Tania Purwanti,31/01/2024,221000,22
,,BR3840,Tania Purwanti,08/02/2024,952000,95
,,BR3901,Candrakanta Permadi,04/01/2024,362000,36
,,BR3901,Candrakanta Permadi,07/04/2024,352000,35
,,BR3901,Candrakanta Permadi,21/01/2024,991000,99
",,BR3979,""dr. Unjani Sudiati, M.Farm"",25/04/2024,413000,41"
",,BR3979,""dr. Unjani Sudiati, M.Farm"",04/03/2024,306000,30"
,,BR3988,Farhunnisa Halimah,27/03/2024,27000,2
,,BR3988,Farhunnisa Halimah,03/02/2024,44000,4
,,BR4152,Ajeng Sitompul,07/02/2024,182000,18
,,BR4152,Ajeng Sitompul,14/03/2024,389000,38
",,BR4217,""Gawati Firgantoro, M.Pd"",16/02/2024,743000,74"
",,BR4217,""Gawati Firgantoro, M.Pd"",09/02/2024,375000,37"
,,BR4267,Ajeng Laksmiwati,14/02/2024,717000,71
,,BR4267,Ajeng Laksmiwati,24/04/2024,220000,22
,,BR4267,Ajeng Laksmiwati,21/03/2024,858000,85
,,BR4419,Respati Padmasari,17/04/2024,155000,15
,,BR4419,Respati Padmasari,23/05/2024,275000,27
,,BR4468,Rudi Nababan,09/04/2024,847000,84
",,BR4716,""T. Murti Hutagalung, M.TI."",13/01/2024,812000,81"
",,BR4716,""T. Murti Hutagalung, M.TI."",26/02/2024,668000,66"
",,BR4818,""Siti Waskita, S.Gz"",22/02/2024,673000,67"
",,BR4844,""Tina Wijayanti, S.Kom"",01/02/2024,861000,86"
